coll_nom;coll_siret;code_commune;commune_nom;code_secteur;secteur_nom;code_iris;iris_nom;code_batiment;code_rivoli;voie_nom;code_site;id_nid;protocole;nid_support;nid_espece;nid_traite;nid_nb;nid_nb_oeuf;nid_nb_poussin;annee;long_rgf93cc48;lat_rgf93cc48;long;lat;source;date_der_maj;geo_shape;geo_point_2d
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000290416856;56121_1260;Boulevard Eugène Cosmao-Dumanoir;119;103;Stérilisation;Toit plat;Argenté;Oui;1;2.0;1.0;2017;1223424.2496;7192454.5654;-3.36393081300002;47.755115199;Ville de Lorient;2017-05-29;"{""coordinates"": [-3.363930812700426, 47.75511519918224], ""type"": ""Point""}";47.75511519918224, -3.363930812700426
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000292406906;56121_0510;Rue Louis Blanqui;330;244;Stérilisation;Cheminée;Argenté;Oui;1;2.0;0.0;2017;1223372.6369;7192276.3472;-3.36442088199999;47.753479367;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.364420882263143, 47.75347936717361], ""type"": ""Point""}";47.75347936717361, -3.364420882263143
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000290417080;56121_0860;Rue Jean-Baptiste Chaigneau;480;396;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1223778.7814;7192325.0615;-3.359075727;47.754217146;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.359075726634344, 47.75421714590372], ""type"": ""Point""}";47.75421714590372, -3.359075726634344
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210905;Nouvelle Ville;BATIMENT0000000290412223;56121_0170;Rue amiral Courbet;228;164;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1223216.7752;7191270.7505;-3.36538653700001;47.744349561;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.3653865370946754, 47.744349560973625], ""type"": ""Point""}";47.744349560973625, -3.3653865370946754
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210905;Nouvelle Ville;BATIMENT0000000290412146;56121_0018;Rue abbé Laudrin;238;167;Stérilisation;Toit plat;Argenté;Non;1;3.0;0.0;2017;1223130.1232;7191228.5729;-3.36649175600002;47.743907197;Ville de Lorient;2017-05-12;"{""coordinates"": [-3.366491755776502, 47.743907196974675], ""type"": ""Point""}";47.743907196974675, -3.366491755776502
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000290416196;56121_3940;Rue de Melun;565;482;Stérilisation;Fibro;Argenté;Non;1;0.0;2.0;2017;1223576.3656;7192491.1187;-3.36194893599998;47.755555659;Ville de Lorient;2017-05-22;"{""coordinates"": [-3.36194893636377, 47.755555658959956], ""type"": ""Point""}";47.755555658959956, -3.36194893636377
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000290416107;56121_2400;Rue Georges Collier;585;514;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1223314.7812;7192335.0195;-3.365254462;47.753962394;Ville de Lorient;2017-05-22;"{""coordinates"": [-3.365254462132825, 47.75396239426608], ""type"": ""Point""}";47.75396239426608, -3.365254462132825
Ville de Lorient;21560121200016;56121;Lorient;4;Keryado - Saint-Armel - Kerfichant - Le Bourgneuf;561210601;Kerletu;BATIMENT0000000290406256;56121_4513;Impasse Pierre Royant;581;509;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1221645.5686;7193875.4341;-3.3891427419999895;47.766530026;Ville de Lorient;2017-05-22;"{""coordinates"": [-3.3891427422092035, 47.76653002613979], ""type"": ""Point""}";47.76653002613979, -3.3891427422092035
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407029;56121_2180;Rue François Toullec;542;471;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1222361.5864;7190203.3506;-3.3755761830000197;47.73414652900001;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.3755761830470212, 47.73414652920332], ""type"": ""Point""}";47.73414652920332, -3.3755761830470212
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210905;Nouvelle Ville;BATIMENT0000000290412394;56121_5000;Rue Adolphe Rondeaux;380;330;Stérilisation;Cheminée;Argenté;Oui;1;3.0;0.0;2017;1223369.2267;7191162.8112;-3.36324176699998;47.743495056;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.3632417668476755, 47.74349505649129], ""type"": ""Point""}";47.74349505649129, -3.3632417668476755
